"node_id","node_label","node_mapped_to","tissue_label","tissue_mapped_to","organ_label","organ_mapped_to"
"Ductal_Epithelial_Cell_1","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_2","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_3","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_4","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_5","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_6","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_7","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_8","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_9","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_10","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_11","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_12","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_13","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Ductal_Epithelial_Cell_14","epithelial cell of exocrine pancreas","http://purl.obolibrary.org/obo/CL_1001433","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_1","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_2","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_3","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_4","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_5","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_6","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_7","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_8","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Pancreatic_Acinar_Cell_9","pancreatic acinar cell","http://purl.obolibrary.org/obo/CL_0002064","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
"Intercalated_Duct","intercalated duct of pancreas","http://purl.obolibrary.org/obo/UBERON_0014726","pancreatic acinus","UBERON:0001263","Pancreas","UBERON:0001264"
